SMILES,Solvent,Ex (nm),Em (nm),ST (nm),QY,¦Å (cm-1M-1),Log(¦Å),Reference
BrC(=C\C=C1\Sc2ccccc2N1Cc1ccccc1)/C=C/c1sc2ccccc2[n+]1Cc1ccccc1,CO,607,662,55,0.054,25555,4.407475885,https://doi.org/10.1016/j.dyepig.2023.111519
BrCCCN1C=C/C(=C\c2sc3ccccc3[n+]2CCC[n+]2ccccc2)c2ccccc21,CO,505,,,,77800,4.890979597,https://doi.org/10.1016/S0143-7208(98)00046-1
C#CCCCN1/C(=C/C=C2\CCCC(/C=C/C3=[N+](CCCC#C)c4ccc(-c5ccc(OC)cc5)cc4C3(C)C)=C2Cl)C(C)(C)c2cc(-c3ccc(OC)cc3)ccc21,C(Cl)Cl,829,848,19,,,,https://doi.org/10.1016/j.saa.2024.124798
C#CCCCN1/C(=C/C=C2\CCCC(/C=C/C3=[N+](CCCC#C)c4ccc(-c5ccc(OC)cc5)cc4C3(C)C)=C2Cl)C(C)(C)c2cc(-c3ccc(OC)cc3)ccc21,CCO,823,851,28,,432000,5.635483747,https://doi.org/10.1016/j.saa.2024.124798
C#CCCCN1/C(=C/C=C2\CCCC(/C=C/C3=[N+](CCCC#C)c4ccccc4C3)=C2Cl)Cc2ccccc21,O,776,795,19,0.0042,94248,4.974272143,https://doi.org/10.1016/j.jphotobiol.2021.112172
C#CCCCN1/C(=C/C=C2\CCCC(/C=C/C3=[N+](CCCC#C)c4ccccc4C3)=C2Cl)Cc2ccccc21,CO,780,808,28,0.0829,224470,5.351158307,https://doi.org/10.1016/j.jphotobiol.2021.112172
C#CCN1CCN(c2c(F)cc3c(c2F)OC2=C(/C=C/C4=[N+](C)c5ccccc5C4(C)C)CCCC2=C3)CC1,CCO,614,723,109,0.01,42300,4.626340367,https://doi.org/10.1039/c9ob00568d
C#CCN1CCN(c2c(F)cc3c(c2F)OC2=C(/C=C/C4=[N+](C)c5ccccc5C4(C)C)CCCC2=C3)CC1,C(Cl)(Cl)Cl,629,731,102,0.02,43650,4.639984248,https://doi.org/10.1039/c9ob00568d
C#CCOC(=O)CC[N+]1=C(/C=C/C=C/C=C2/N(CCC(=O)NCCOCCOCCCCCCCl)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,CCO,647,670,23,0.32,276000,5.440909082,https://doi.org/10.1021/acs.joc.3c02673
C#CCOC(=O)CC[N+]1=C(/C=C/C=C/C=C2/N(CCC(=O)NCCOCCOCCCCCCCl)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,O,642,664,22,0.21,90000,4.954242509,https://doi.org/10.1021/acs.joc.3c02673
C#CCOC(=O)CC[N+]1=C(/C=C/C=C/C=C2/N(CCC(=O)NCCOCCOCCCCCCCl)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,CS(=O)C,653,674,21,0.49,351000,5.545307116,https://doi.org/10.1021/acs.joc.3c02673
C#CCOC(=O)CC[N+]1=C(/C=C/C=C/C=C2/N(CCC(=O)NCCOCCOCCCCCCCl)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,CN(C)C=O,650,670,20,0.43,282000,5.450249108,https://doi.org/10.1021/acs.joc.3c02673
C#CCOc1ccc2c(c1)C(C)(C)C(/C=C/C=C(/C=C/C=C1/N(CCCCS(=O)(=O)[O-])c3ccc(OCC#C)cc3C1(C)C)C(=O)O)=[N+]2CCCCS(=O)(=O)[O-],CO,777,819,42,0.0304,215400,5.333245699,https://doi.org/10.1016/j.jphotochem.2022.114189
C#CCOc1ccc2c(c1)C(C)(C)C(/C=C/C=C(/C=C/C=C1/N(CCCCS(=O)(=O)[O-])c3ccc(OCC#C)cc3C1(C)C)C(=O)OCc1ccc([N+](=O)[O-])cc1)=[N+]2CCCCS(=O)(=O)[O-],CO,819,863,44,0.0017,150400,5.177247836,https://doi.org/10.1016/j.jphotochem.2022.114189
C(/C=C\C=c1/c2cccc3cccc(c32)n1Cc1ccccc1)=C/C=C/C1=[N+](Cc2ccccc2)c2cccc3cccc1c23,CN(C)C=O,989,,,,292100,5.465531557,https://doi.org/10.1016/j.jphotochem.2006.12.014
C(/C=C\C=c1/c2cccc3cccc(c32)n1Cc1ccccc1)=C/C=C/C1=[N+](Cc2ccccc2)c2cccc3cccc1c23,CCO,976,,,,,,https://doi.org/10.1016/j.jphotochem.2006.12.014
C(/C=C\C=c1/c2cccc3cccc(c32)n1Cc1ccccc1)=C/C=C/C1=[N+](Cc2ccccc2)c2cccc3cccc1c23,C(Cl)Cl,991,,,,218100,5.338655666,https://doi.org/10.1016/j.jphotochem.2006.12.014
C(/C=C1/Sc2ccccc2N1Cc1ccccc1)=C(\C=C\c1sc2ccccc2[n+]1Cc1ccccc1)[n+]1ccccc1,CO,624,653,29,0.072,192166,5.28367655,https://doi.org/10.1016/j.dyepig.2023.111519
C(/C=C1/Sc2ccccc2N1Cc1ccccc1)=C(\C=C\c1sc2ccccc2[n+]1Cc1ccccc1)c1ccccc1,CO,657,675,18,0.174,98068,4.991527318,https://doi.org/10.1016/j.dyepig.2023.111519
C(/C=C1\Sc2ccccc2N1CCCc1ccccc1)=C(\C=C\c1sc2ccccc2[n+]1CCCc1ccccc1)c1ccncc1,CCO,651,671,20,0.09,156560,5.194680813,https://doi.org/10.1016/j.dyepig.2021.109268
C(=C/C=C1/Sc2ccccc2N1Cc1ccccc1)\C=C\c1sc2ccccc2[n+]1Cc1ccccc1,CO,613,635,22,0.12,8125,3.90982337,https://doi.org/10.1016/j.dyepig.2023.111519
C(=C/C=c1\c2cccc3cccc(c32)n1Cc1ccccc1)\C=C\C1=[N+](Cc2ccccc2)c2cccc3cccc1c23,CN(C)C=O,874,,,,193100,5.285782274,https://doi.org/10.1016/j.jphotochem.2006.12.014
C(=C/C=c1\c2cccc3cccc(c32)n1Cc1ccccc1)\C=C\C1=[N+](Cc2ccccc2)c2cccc3cccc1c23,C(Cl)Cl,874,,,,251000,5.399673721,https://doi.org/10.1016/j.jphotochem.2006.12.014
C(=Cc1cc[n+](CCC[n+]2ccc(C=Cc3ccc(N(c4ccccc4)c4ccccc4)cc3)c3ccccc32)c2ccccc12)c1ccc(N(c2ccccc2)c2ccccc2)cc1,C1CCOC1,539,752,213,,,,https://doi.org/10.1016/j.dyepig.2008.07.014
C(=Cc1cc[n+](CCC[n+]2ccc(C=Cc3ccc(N(c4ccccc4)c4ccccc4)cc3)c3ccccc32)c2ccccc12)c1ccc(N(c2ccccc2)c2ccccc2)cc1,CN(C)C=O,522,774,252,,36100,4.557507202,https://doi.org/10.1016/j.dyepig.2008.07.014
C(=Cc1cc[n+](CCC[n+]2ccc(C=Cc3ccc(N(c4ccccc4)c4ccccc4)cc3)c3ccccc32)c2ccccc12)c1ccc(N(c2ccccc2)c2ccccc2)cc1,CCOC(=O)C,524,727,203,,,,https://doi.org/10.1016/j.dyepig.2008.07.014
C(=Cc1cc[n+](CCC[n+]2ccc(C=Cc3ccc(N(c4ccccc4)c4ccccc4)cc3)cc2)cc1)c1ccc(N(c2ccccc2)c2ccccc2)cc1,CCOC(=O)C,468,653,185,,,,https://doi.org/10.1016/j.dyepig.2008.07.014
C(=Cc1cc[n+](CCC[n+]2ccc(C=Cc3ccc(N(c4ccccc4)c4ccccc4)cc3)cc2)cc1)c1ccc(N(c2ccccc2)c2ccccc2)cc1,C1CCOC1,477,657,180,,,,https://doi.org/10.1016/j.dyepig.2008.07.014
C(=Cc1cc[n+](CCC[n+]2ccc(C=Cc3ccc(N(c4ccccc4)c4ccccc4)cc3)cc2)cc1)c1ccc(N(c2ccccc2)c2ccccc2)cc1,CN(C)C=O,467,694,227,,28500,4.45484486,https://doi.org/10.1016/j.dyepig.2008.07.014
C(=Cc1cc[n+](CCCCC[n+]2ccc(C=Cc3ccc(N(c4ccccc4)c4ccccc4)cc3)c3ccccc32)c2ccccc12)c1ccc(N(c2ccccc2)c2ccccc2)cc1,C1CCOC1,539,749,210,,,,https://doi.org/10.1016/j.dyepig.2008.07.014
C(=Cc1cc[n+](CCCCC[n+]2ccc(C=Cc3ccc(N(c4ccccc4)c4ccccc4)cc3)c3ccccc32)c2ccccc12)c1ccc(N(c2ccccc2)c2ccccc2)cc1,CN(C)C=O,521,764,243,,17500,4.243038049,https://doi.org/10.1016/j.dyepig.2008.07.014
C(=Cc1cc[n+](CCCCC[n+]2ccc(C=Cc3ccc(N(c4ccccc4)c4ccccc4)cc3)c3ccccc32)c2ccccc12)c1ccc(N(c2ccccc2)c2ccccc2)cc1,CCOC(=O)C,526,729,203,,,,https://doi.org/10.1016/j.dyepig.2008.07.014
C(=Cc1cc[n+](CCCCC[n+]2ccc(C=Cc3ccc(N(c4ccccc4)c4ccccc4)cc3)cc2)cc1)c1ccc(N(c2ccccc2)c2ccccc2)cc1,CN(C)C=O,467,691,224,,38100,4.580924976,https://doi.org/10.1016/j.dyepig.2008.07.014
C(=Cc1cc[n+](CCCCC[n+]2ccc(C=Cc3ccc(N(c4ccccc4)c4ccccc4)cc3)cc2)cc1)c1ccc(N(c2ccccc2)c2ccccc2)cc1,C1CCOC1,472,666,194,,,,https://doi.org/10.1016/j.dyepig.2008.07.014
C(=Cc1cc[n+](CCCCC[n+]2ccc(C=Cc3ccc(N(c4ccccc4)c4ccccc4)cc3)cc2)cc1)c1ccc(N(c2ccccc2)c2ccccc2)cc1,CCOC(=O)C,463,656,193,,,,https://doi.org/10.1016/j.dyepig.2008.07.014
C(=Cc1cc[n+](CCCCCCCCCC[n+]2ccc(C=Cc3ccc(N(c4ccccc4)c4ccccc4)cc3)c3ccccc32)c2ccccc12)c1ccc(N(c2ccccc2)c2ccccc2)cc1,C1CCOC1,536,731,195,,,,https://doi.org/10.1016/j.dyepig.2008.07.014
C(=Cc1cc[n+](CCCCCCCCCC[n+]2ccc(C=Cc3ccc(N(c4ccccc4)c4ccccc4)cc3)c3ccccc32)c2ccccc12)c1ccc(N(c2ccccc2)c2ccccc2)cc1,CCOC(=O)C,527,703,176,,,,https://doi.org/10.1016/j.dyepig.2008.07.014
C(=Cc1cc[n+](CCCCCCCCCC[n+]2ccc(C=Cc3ccc(N(c4ccccc4)c4ccccc4)cc3)c3ccccc32)c2ccccc12)c1ccc(N(c2ccccc2)c2ccccc2)cc1,CN(C)C=O,522,716,194,,11200,4.049218023,https://doi.org/10.1016/j.dyepig.2008.07.014
C(=Cc1cc[n+](CCCCCCCCCC[n+]2ccc(C=Cc3ccc(N(c4ccccc4)c4ccccc4)cc3)cc2)cc1)c1ccc(N(c2ccccc2)c2ccccc2)cc1,CCOC(=O)C,467,651,184,,,,https://doi.org/10.1016/j.dyepig.2008.07.014
C(=Cc1cc[n+](CCCCCCCCCC[n+]2ccc(C=Cc3ccc(N(c4ccccc4)c4ccccc4)cc3)cc2)cc1)c1ccc(N(c2ccccc2)c2ccccc2)cc1,CN(C)C=O,467,691,224,,43300,4.636487896,https://doi.org/10.1016/j.dyepig.2008.07.014
C(=Cc1cc[n+](CCCCCCCCCC[n+]2ccc(C=Cc3ccc(N(c4ccccc4)c4ccccc4)cc3)cc2)cc1)c1ccc(N(c2ccccc2)c2ccccc2)cc1,C1CCOC1,471,658,187,,,,https://doi.org/10.1016/j.dyepig.2008.07.014
C/C(c1c2ccccc2c2n(C)c(-c3ccccc3)nn12)=c1\c2ccccc2c2n1nc(-c1ccccc1)[n+]2C,CC#N,570,,,,56234,4.749998977,https://doi.org/10.1016/j.dyepig.2006.03.017
C/C(c1c2ccccc2c2n(C)c(-c3ccco3)nn12)=c1\c2ccccc2c2n1nc(-c1ccco1)[n+]2C,CC#N,571,,,,125892,5.099998133,https://doi.org/10.1016/j.dyepig.2006.03.017
C/C(c1c2ccccc2c2n(Cc3ccccc3)c(C)nn12)=c1\c2ccccc2c2n1nc(C)[n+]2Cc1ccccc1,CC#N,566,,,,46773,4.669995226,https://doi.org/10.1016/j.dyepig.2006.03.017
C[N+]1(CCCN2C=C/C(=C\c3sc4ccccc4[n+]3CCCS(=O)(=O)[O-])c3ccccc32)CCCC1,CO,507,554,47,,83200,4.920123326,https://doi.org/10.1016/j.dyepig.2016.03.021
C[N+]1=C(/C=C/C=C/C=C2/N(CCCCCC(=O)[O-])c3ccc(S(=O)(=O)[O-])cc3C2(C)C)C(C)(C)c2cc(S(=O)(=O)[O-])ccc21,O,,,,0.23,220000,5.342422681,https://doi.org/10.1016/j.dyepig.2018.01.029
C[N+]1=C(/C=C/C=C/C=C2/N(CCCCCC(=O)[O-])c3ccc(S(=O)(=O)[O-])cc3C2(C)C)C(C)(C)c2cc(S(=O)(=O)[O-])ccc21,CS(=O)C,658,677,19,,204000,5.309630167,https://doi.org/10.1016/j.dyepig.2018.01.029
C[N+]1=C(/C=C/C=C/C=C2/N(CCCCCC(=O)[O-])c3ccccc3C2(C)C)C(C)(C)c2cc(S(=O)(=O)[O-])ccc21,CS(=O)C,653,672,19,,238000,5.376576957,https://doi.org/10.1016/j.dyepig.2018.01.029
C[N+]1=C(/C=C/C=C/C=C2/N(CCCCCC(=O)[O-])c3ccccc3C2(C)C)C(C)(C)c2cc(S(=O)(=O)[O-])ccc21,O,,,,0.13,212000,5.326335861,https://doi.org/10.1016/j.dyepig.2018.01.029
C[N+]1=C(/C=C/C=C/C=C2/N(CCCCCC(=O)[O-])c3ccccc3C2(C)C)C(C)(C)c2ccccc21,O,,,,0.13,174000,5.240549248,https://doi.org/10.1016/j.dyepig.2018.01.029
C[N+]1=C(/C=C/C=C/C=C2/N(CCCCCC(=O)[O-])c3ccccc3C2(C)C)C(C)(C)c2ccccc21,CS(=O)C,647,667,20,,188000,5.274157849,https://doi.org/10.1016/j.dyepig.2018.01.029
C[N+]1=C(/C=C/C=C2/N(CCC[N+](C)(C)C)c3ccc(Br)cc3C2(C)C)C(C)(C)c2ccccc21,CS(=O)C,556,568,12,0.11,101000,5.004321374,https://doi.org/10.1016/j.dyepig.2014.02.009
C[N+]1=C(/C=C/C=C2/N(CCC[N+](C)(C)C)c3ccc(S(=O)(=O)[O-])cc3C2(C)C)C(C)(C)c2ccccc21,CS(=O)C,556,570,14,0.1,144000,5.158362492,https://doi.org/10.1016/j.dyepig.2014.02.009
C[N+]1=C(/C=C/C=C2/N(CCC[N+](C)(C)C)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,CS(=O)C,552,565,13,0.08,120000,5.079181246,https://doi.org/10.1016/j.dyepig.2014.02.009
C[N+]1=C(/C=C/C=C2/N(CCCc3ccccc3)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,CS(=O)C,553,567,14,0.08,115000,5.06069784,https://doi.org/10.1016/j.dyepig.2014.02.009
C[N+]1=C(/C=C/C=C2/N(CCCS(=O)(=O)[O-])c3ccccc3C2(C)C)C(C)(C)c2ccccc21,CS(=O)C,553,565,12,0.1,124000,5.093421685,https://doi.org/10.1016/j.dyepig.2014.02.009
C[N+]1=C(/C=C/C2=C3Oc4c(cc(F)c([Se]c5ccc6c(c5)Cc5ccccc5-6)c4F)C=C3CCC2)C(C)(C)c2ccccc21,CCO,560,,,,36050,4.556905269,https://doi.org/10.1039/c9ob00568d
C[N+]1=C(/C=C/C2=C3Oc4c(cc(F)c([Se]c5ccc6c(c5)Cc5ccccc5-6)c4F)C=C3CCC2)C(C)(C)c2ccccc21,C(Cl)(Cl)Cl,599,,,,39350,4.594944737,https://doi.org/10.1039/c9ob00568d
C[N+]1=C(/C=C/C2=C3Oc4c(cc(F)c([Se]c5ccccc5)c4F)C=C3CCC2)C(C)(C)c2ccccc21,C(Cl)(Cl)Cl,595,,,,34050,4.532117116,https://doi.org/10.1039/c9ob00568d
C[N+]1=C(/C=C/C2=C3Oc4c(cc(F)c([Se]c5ccccc5)c4F)C=C3CCC2)C(C)(C)c2ccccc21,CCO,557,,,,34000,4.531478917,https://doi.org/10.1039/c9ob00568d
C[N+]1=C(/C=C/C2=C3Oc4c(cc(F)c(F)c4F)C=C3CCC2)C(C)(C)c2ccccc21,C(Cl)(Cl)Cl,578,,,,37850,4.578065884,https://doi.org/10.1039/c9ob00568d
C[N+]1=C(/C=C/C2=C3Oc4c(cc(F)c(N)c4F)C=C3CCC2)C(C)(C)c2ccccc21,CCO,690,718,28,0.02,61200,4.786751422,https://doi.org/10.1039/c9ob00568d
C[N+]1=C(/C=C/C2=C3Oc4c(cc(F)c(N)c4F)C=C3CCC2)C(C)(C)c2ccccc21,C(Cl)(Cl)Cl,684,709,25,0.02,56150,4.749349761,https://doi.org/10.1039/c9ob00568d
C[N+]1=C(/C=C/C2=C3Oc4c(cc(F)c(N5CCC(C(=O)O)CC5)c4F)C=C3CCC2)C(C)(C)c2ccccc21,C(Cl)(Cl)Cl,634,731,97,0.03,45400,4.657055853,https://doi.org/10.1039/c9ob00568d
C[N+]1=C(/C=C/C2=C3Oc4c(cc(F)c(N5CCC(C(=O)O)CC5)c4F)C=C3CCC2)C(C)(C)c2ccccc21,O,619,733,114,0.01,33750,4.528273777,https://doi.org/10.1039/c9ob00568d
C[N+]1=C(/C=C/C2=C3Oc4c(cc(F)c(N5CCC(C(=O)O)CC5)c4F)C=C3CCC2)C(C)(C)c2ccccc21,CCO,620,729,109,0.015,40700,4.609594409,https://doi.org/10.1039/c9ob00568d
C[N+]1=C(/C=C/C2=C3Oc4c(cc(F)c(N5CCC[C@H]5CO)c4F)C=C3CCC2)C(C)(C)c2ccccc21,CCO,702,738,36,0.03,24000,4.380211242,https://doi.org/10.1039/c9ob00568d
