SMILES,Solvent,Ex (nm),Em (nm),ST (nm),QY,¦Å (cm-1M-1),Log(¦Å),Reference
[O][N+](=O)c1ccc(C2=c3cc4c5c(c3Oc3cc(O)ccc32)CCC[N+]=5CCC4)cc1,CCO,545,584,39,,74000,4.86923172,https://doi.org/10.1016/j.bmcl.2008.06.065
[O]C(=O)c1ccc(C([O])=O)c(C2=c3cc4c5c(c3Oc3c2cc2c6c3CCCN6CCC2)CCC[N+]=5CCC4)c1,O,574,603,29,0.64,,,https://doi.org/10.1016/j.jlumin.2016.07.031
[O]C(=O)c1ccc(C2=c3cc4c5c(c3Oc3c2cc2c6c3CCCN6CCC2)CCC[N+]=5CCC4)c(C([O])=O)c1,O,574,603,29,0.6,,,https://doi.org/10.1016/j.jlumin.2016.07.031
[O]C(=O)c1ccccc1C1=c2cc3c4c(c2Oc2c1cc1c5c2CCCN5CCC1)CCC[N+]=4CCC3,CC#N,577,603,26,1,,,https://doi.org/10.1016/j.jlumin.2013.07.066
[O]C(=O)c1ccccc1C1=c2cc3c4c(c2Oc2c1cc1c5c2CCCN5CCC1)CCC[N+]=4CCC3,CN(C)C=O,580,608,28,1,,,https://doi.org/10.1016/j.jlumin.2013.07.066
[O]C(=O)c1ccccc1C1=c2cc3c4c(c2Oc2c1cc1c5c2CCCN5CCC1)CCC[N+]=4CCC3,CCO,564,593,29,0.98,,,https://doi.org/10.1016/j.jlumin.2013.07.066
[O]C(=O)c1ccccc1C1=c2cc3c4c(c2Oc2c1cc1c5c2CCCN5CCC1)CCC[N+]=4CCC3,O,575,604,29,0.99,,,https://doi.org/10.1016/j.jlumin.2013.07.066
[O]C(=O)c1ccccc1-c1c2ccc(=O)cc-2oc2cc([O])ccc12,CO,500,540,40,0.92,,,https://doi.org/10.1016/j.jphotochem.2008.08.008
[OH+]=c1cc2oc3cc(N4CCCCC4)ccc3c3c4ccc(N5CCCCC5)cc4oc(c1)c23,CS(=O)C,552,596,44,0.14,72000,4.857332496,https://doi.org/10.1016/j.tet.2017.10.064
[OH+]=c1ccc2c3c4ccc(N5CCCCC5)cc4oc4cc(N5CCCCC5)cc(oc-2c1)c43,CS(=O)C,558,609,51,0.26,43000,4.633468456,https://doi.org/10.1016/j.tet.2017.10.064
Brc1ccc(C2=c3cc4c5c(c3Oc3c2cc2c6c3CCCN6CCC2)CCC[N+]=5CCC4)cc1,CCO,580,602,22,,70300,4.846955325,DOI: 10.1021/ol035327u
