SMILES,Solvent,AM,EM,QY,AC,ST,LGAC,Et30,SP,SdP,SA,SB
CCCCCCCCN1c2ccccc2Oc2cc(/C=C(\CN)C(=O)O)ccc21,C(Cl)Cl,491,607,0.72,,116,,40.7,0.761,0.769,0.04,0.178
c1ccc2c(c1)Cc1cc3c(cc1-2)Cc1ccccc1-3,C1CCCCC1,333,340,0.73,67608,7,4.83,30.9,0.683,0,0,0.073
c1ccc2c(c1)Cc1cc3c(cc1-2)Cc1ccccc1-3,C(Cl)Cl,333,356,0.73,67608,23,4.83,40.7,0.761,0.769,0.04,0.178
O=[N+]([O-])c1cccc2c1ccc1[n+]2[B-](F)(F)n2c-1cc1c3ccccc3c3ccccc3c12,C(Cl)Cl,518,633,0.03,12023,115,4.08,40.7,0.761,0.769,0.04,0.178
O=c1c(C2CCCCC2)coc2cc(O)ccc12,O,334,456,0.27,,122,,63.1,0.681,0.997,1.062,0.025
CCCCNC(=O)c1ccc2ccc3c(N4CCCCC4)ccc4ccc1c2c43,C(Cl)(Cl)Cl,376,485,0.91,26600,109,4.4249,39.1,0.783,0.614,0.047,0.071
CCCCNC(=O)c1ccc2ccc3c(N4CCCCC4)ccc4ccc1c2c43,CCO,372,500,0.99,26880,128,4.4294,51.9,0.633,0.783,0.4,0.658
CCCCNC(=O)c1ccc2ccc3c(N4CCCCC4)ccc4ccc1c2c43,CO,372,510,0.93,26880,138,4.4294,55.4,0.608,0.904,0.605,0.545
CCCCNC(=O)c1ccc2ccc3c(N4CCCCC4)ccc4ccc1c2c43,CC1=CC=CC=C1,376,469,0.95,26600,93,4.4249,33.9,0.782,0.284,0,0.128
CCCCNC(=O)c1ccc2ccc3c(N4CCCCC4)ccc4ccc1c2c43,CS(=O)C,376,500,0.88,26600,124,4.4249,45.1,0.83,1,0.072,0.647
CCCCNC(=O)c1ccc2ccc3c(N4CCCCC4)ccc4ccc1c2c43,CC#N,373,498,0.95,26810,125,4.4283,45.6,0.645,0.974,0.044,0.286
CCCCNC(=O)c1ccc2ccc3c(N4CCCCC4)ccc4ccc1c2c43,C1COCCO1,373,471,0.95,26810,98,4.4283,36,0.737,0.312,0,0.444
CCCCNC(=O)c1ccc2ccc3c(N4CCCCC4)ccc4ccc1c2c43,CCCCCC,371,446,0.97,26950,75,4.4306,31,0.616,0,0,0.056
CCCCNC(=O)c1ccc2ccc3c(N4CCCCC4)ccc4ccc1c2c43,CN(C)C=O,375,495,0.93,26670,120,4.426,43.2,0.759,0.977,0.031,0.613
CCCCNC(=O)c1ccc2ccc3c(N4CCCCC4)ccc4ccc1c2c43,C(Cl)Cl,378,488,0.99,26460,110,4.4226,40.7,0.761,0.769,0.04,0.178
CCCCNC(=O)c1ccc2ccc3c(N4CCCCC4)ccc4ccc1c2c43,CC(=O)C,372,480,0.93,26880,108,4.4294,42.2,0.651,0.907,0,0.475
CCCCNC(=O)c1ccc2ccc3c(N4CCCCC4)ccc4ccc1c2c43,C1CCOC1,372,474,0.94,26880,102,4.4294,37.4,0.714,0.634,0,0.591
O=C(O)CN1C(=O)/C(=C\c2ccc(N(c3ccccc3)c3ccc(/C=C/c4ccc(N(c5ccccc5)c5ccccc5)cc4)cc3)cc2)SC1=S,C(Cl)Cl,476,605,0.72,,129,,40.7,0.761,0.769,0.04,0.178
Cc1cc(C)c(B(c2c(C)cc(C)cc2C)c2cc3cc(N(C)C)c4ccccc4c3c3c2ccc2ccccc23)c(C)c1,C(Cl)(Cl)Cl,431,536,0.2,2818,105,3.4499,39.1,0.783,0.614,0.047,0.071
Cc1cc(C)c(B(c2c(C)cc(C)cc2C)c2cc3cc(N(C)C)c4ccccc4c3c3c2ccc2ccccc23)c(C)c1,C1CCCCC1,430,509,0.36,,79,,30.9,0.683,0,0,0.073
Cc1cc(C)c(B(c2c(C)cc(C)cc2C)c2cc3cc(N(C)C)c4ccccc4c3c3c2ccc2ccccc23)c(C)c1,CC#N,429,565,0.13,2754,136,3.44,45.6,0.645,0.974,0.044,0.286
Cc1cc(C)c(B(c2c(C)cc(C)cc2C)c2cc3cc(N(C)C)c4ccccc4c3c3c2ccc2ccccc23)c(C)c1,C1CCOC1,431,553,0.21,2818,122,3.4499,37.4,0.714,0.634,0,0.591
Oc1ccccc1-c1nc2ncccc2o1,CO,328,388,0.009,,60,,55.4,0.608,0.904,0.605,0.545
CCCCCCOc1c(OCCCCCC)c(-c2ccc(/C=C(\CN)C(=O)O)s2)c2nsnc2c1CCc1ccc(N(c2ccccc2)c2ccccc2)cc1,C1CCOC1,478,577,0.7,,99,,37.4,0.714,0.634,0,0.591
COC(=O)C(NC(=O)OC(C)(C)C)c1ccc2oc(-c3ccc(F)cc3)nc2c1,CC#N,314,341,0.46,29512,27,4.47,45.6,0.645,0.974,0.044,0.286
