SMILES,Solvent,AM,EM,QY,AC,ST,LGAC,Et30,SP,SdP,SA,SB
CN(C)c1ccc2c(c1)OC(c1ccccc1)=C/C2=C/c1cc(-c2ccccc2)[o+]c2cc(N(C)C)ccc12,C(Cl)Cl,650,684.0,0.007,,34.0,,40.7,0.761,0.769,0.04,0.178
Cc1cc(C)c(B(c2c(C)cc(C)cc2C)c2c(C)cc(-n3c4ccccc4c4cc(N(c5ccccc5)c5ccccc5)ccc43)cc2C)c(C)c1,CC1=CC=CC=C1,375,477.0,0.91,,102.0,,33.9,0.782,0.284,0.0,0.128
CCCCCCCCCCc1nc(-c2nc(CCCCCCCCC)c(-c3ccc(/C=C(\CN)C(=O)O)s3)s2)sc1-c1ccc2c3ccccc3n(CCCC)c2c1,C1CCOC1,428,539.0,0.7,,111.0,,37.4,0.714,0.634,0.0,0.591
CCN1c2ccc(C=C3SC(=S)N(CC(=O)O)C3=O)cc2Sc2cc(C=C3SC(=S)N(CC(=O)O)C3=O)ccc21,CN(C)C=O,489,635.0,0.7,,146.0,,43.2,0.759,0.977,0.031,0.613
CCCCCCCCCCCC[C@@H](CCCCCCCCCC)CN1c2ccc(/C=C3\SC(=S)N(CC(=O)O)C3=O)cc2Sc2cc(-n3c4ccccc4c4ccccc43)ccc21,C(Cl)Cl,478,657.0,0.57,,179.0,,40.7,0.761,0.769,0.04,0.178
C(=C/c1nc2ccccc2[nH]1)\c1ccc(-c2nc3c4cccnc4c4ncccc4c3[nH]2)cc1,CC#N,376,450.0,0.15,86700.0,74.0,4.938,45.6,0.645,0.974,0.044,0.286
C(=C/c1nc2ccccc2[nH]1)\c1ccc(-c2nc3c4cccnc4c4ncccc4c3[nH]2)cc1,CO,375,452.0,0.09,95300.0,77.0,4.9791,55.4,0.608,0.904,0.605,0.545
COc1cc(-c2nc3c4cccnc4c4ncccc4c3[nH]2)c(OC)cc1/C=C/c1nc2ccccc2[nH]1,C1CCOC1,401,443.0,0.75,141000.0,42.0,5.1492,37.4,0.714,0.634,0.0,0.591
COc1cc(-c2nc3c4cccnc4c4ncccc4c3[nH]2)c(OC)cc1/C=C/c1nc2ccccc2[nH]1,C(Cl)Cl,400,452.0,0.62,121900.0,52.0,5.086,40.7,0.761,0.769,0.04,0.178
C(=C/c1nc2ccccc2[nH]1)\c1ccc(-c2nc3c4cccnc4c4ncccc4c3[nH]2)cc1,C(Cl)Cl,382,447.0,0.07,98600.0,65.0,4.9939,40.7,0.761,0.769,0.04,0.178
