SMILES,Solvent,AM,EM,QY,AC,ST,LGAC,Et30,SP,SdP,SA,SB
C(=Cc1cc[n+](CCCCC[n+]2ccc(C=Cc3ccc(N(c4ccccc4)c4ccccc4)cc3)cc2)cc1)c1ccc(N(c2ccccc2)c2ccccc2)cc1,CN(C)C=O,467,691,,38100,224,4.580924976,43.2,0.759,0.977,0.031,0.613
CCN1/C(=C/C=C2\CCCC(/C=C/C3=[N+](CC)c4ccccc4C3(C)C)=C2c2c(OC)cccc2OC)C(C)(C)c2ccccc21,C(Cl)Cl,769,798,0.32,354000,29,5.549003262,40.7,0.761,0.769,0.04,0.178
CCN1/C(=C/C=C/c2sc3cc(NC(=O)c4ccccc4)ccc3[n+]2CC)Sc2cc(NC(=O)c3ccccc3)ccc21,CC#N,578,596,0.04,,18,,45.6,0.645,0.974,0.044,0.286
CC1(C)C(/C=C/C(I)=C/C=C/C=C2/N(CCC[N+](C)(C)C)c3ccc(S(=O)(=O)[O-])cc3C2(C)C)=[N+](CCC[N+](C)(C)C)c2ccc(S(=O)(=O)[O-])cc21,O,741,767,0.067,240000,26,5.380211242,63.1,0.681,0.997,1.062,0.025
CC1(C)C(/C=C/C2=C(Sc3ccc(C(=O)OCc4ccsc4)cc3)/C(=C/C=C3/N(CCCS(=O)(=O)[O-])c4ccccc4C3(C)C)CCC2)=[N+](CCCS(=O)(=O)[O-])c2ccccc21,CO,795,813,0.051,180000,18,5.255272505,55.4,0.608,0.904,0.605,0.545
CN1C(=CC=Cc2sc3ccccc3[n+]2C)C(C)(C)c2cc3c(cc21)C(C)(C)C(=CC=Cc1sc2ccccc2[n+]1C)N3C,C(Cl)(Cl)Cl,664,688,0.23,,24,,39.1,0.783,0.614,0.047,0.071
CCN1/C(=C/C=C2\CCCC(/C=C/C3=[N+](CC)c4ccccc4C3(C)C)=C2c2c(OCCOCCOC)cccc2OCCOCCOC)C(C)(C)c2ccccc21,C(Cl)Cl,769,790,0.21,313000,21,5.495544338,40.7,0.761,0.769,0.04,0.178
CCN1/C(=C/C=C2\CCCC(/C=C/C3=[N+](CC)c4ccc5ccccc5c4C3(C)C)=C2Cl)C(C)(C)c2c1ccc1ccccc21,CC(=O)C,818,,,,,,42.2,0.651,0.907,0,0.475
CC1(C)C(/C=C/C2=C(NCCS(=O)(=O)O)/C(=C/C=C3/N(Cc4ccc(C(=O)O)cc4)c4ccc(S(=O)(=O)O)cc4C3(C)C)CCC2)=[N+](Cc2ccc(C(=O)O)cc2)c2ccc(S(=O)(=O)[O-])cc21,CCO,615,735,,,120,,51.9,0.633,0.783,0.4,0.658
CC1(C)C2=C(C=C/C=C\C=C(C#N)C#N)CCCN2c2ccccc21,CCCCCC,638,672,0.0055,,34,,31,0.616,0,0,0.056
CC[N+]1=C(/C=C/C=C2/N(CCCCCC(=O)O)c3ccc(Cl)cc3C2(C)C)C(C)(C)c2cc(Cl)ccc21,O,480,570,,,90,,63.1,0.681,0.997,1.062,0.025
CCCCN1/C(=C\C=C\C=C\C2=[N+](CCCC)c3ccc(C(=O)O)cc3C2(C)C)C(C)(C)c2cc(C(=O)O)ccc21,CO,655,674,,,19,,55.4,0.608,0.904,0.605,0.545
CCCCN1/C(=C/C2=[N+](CCCC)c3cccc4cccc2c34)C=Cc2ccccc21,CCO,585,,,35900,,4.555094449,51.9,0.633,0.783,0.4,0.658
CCN1/C(=C/C=C2\CCCC(/C=C/C3=[N+](CC)c4ccccc4C3(C)C)=C2c2c(OC)cccc2OC)C(C)(C)c2ccccc21,CC#N,760,788,0.26,284000,28,5.45331834,45.6,0.645,0.974,0.044,0.286
C(=Cc1cc[n+](CCCCC[n+]2ccc(C=Cc3ccc(N(c4ccccc4)c4ccccc4)cc3)c3ccccc32)c2ccccc12)c1ccc(N(c2ccccc2)c2ccccc2)cc1,C1CCOC1,539,749,,,210,,37.4,0.714,0.634,0,0.591
CCN1C(=O)C(=CC=C2N(c3ccccc3)c3ccccc3N2c2ccccc2)C(=O)N(CC)C1=S,CCCCCC,480,,,,,,31,0.616,0,0,0.056
CC1=CC(=Cc2sc3ccccc3[n+]2C)C=C(C)N1CCO,CN(C)C=O,444,,,,,,43.2,0.759,0.977,0.031,0.613
CCN(CC)c1ccc2cc(-c3cc(-c4ccccc4C(=O)O)c4ccc(N(CC)CC)cc4[o+]3)c(=O)oc2c1,C(Cl)Cl,662,695,0.84,,33,,40.7,0.761,0.769,0.04,0.178
CN1/C(=C/C=C/c2oc3ccccc3[n+]2C)Oc2ccccc21,CS(=O)C,490,512,0.35,114815,22,5.05999863,45.1,0.83,1,0.072,0.647
CCCCN1/C(=C/C=C/C2=[N+](C)c3ccccc3C2(C)C)C(C)(C)c2cc(OC)ccc21,CS(=O)C,566,585,0.03,94000,19,4.973127854,45.1,0.83,1,0.072,0.647
CC1(C)C(/C=C/C=C/C=C/C=C2/N(CCCCS(=O)(=O)[O-])c3ccc(C(=O)NCCCCN)cc3C2(C)C)=[N+](CCCCS(=O)(=O)[O-])c2ccc(C(=O)NCCCCN)cc21,O,755,781,0.15,285000,26,5.45484486,63.1,0.681,0.997,1.062,0.025
