SMILES,Solvent,Ex (nm),Em (nm),ST (nm),QY,AC(cm-1M-1),LogAC
[BH3-][P+]1(c2ccccc2)c2ccccc2-c2sc3ccccc3c21,Cyclohexane,324,395,71,NA,NA,NA
[BH3-][P+]1(c2ccccc2)c2ccccc2-c2sc3ccccc3c21,MeCN,323,401,78,NA,NA,NA
[BH3-][P+]1(c2ccccc2)c2ccccc2-c2sc3ccccc3c21,EtOH,323,400,77,NA,NA,NA
[BH3-][P+]1(c2ccccc2)c2ccccc2-c2sc3ccccc3c21,CH2Cl2,325,400,75,0.38,NA,NA
[C-](=Cc1ccccc1)c1ccc2ccc3ccccc3c2n1,DMSO,NA,NA,NA,NA,19953,4.3
[C-][N+]/C(=C/c1ccc(N(c2ccc(Br)cc2)c2ccc(-c3nc4c(-c5cccc(OC)c5)ccc(-c5cccc(OC)c5)c4[nH]3)cc2)cc1)C(=O)O,CHCl3,423,547,124,0.59,NA,NA
[C-][N+]/C(=C/c1ccc(N(c2ccc(-c3cccc(N(C)C)c3)cc2)c2ccc(-c3nc4c(-c5cccc(OC)c5)ccc(-c5cccc(OC)c5)c4[nH]3)cc2)cc1)C(=O)O,CHCl3,428,557,129,0.58,NA,NA
[C-][N+]/C(=C/c1ccc(N(c2ccc(-c3cccc(OC)c3)cc2)c2ccc(-c3nc4c(-c5cccc(OC)c5)ccc(-c5cccc(OC)c5)c4[nH]3)cc2)cc1)C(=O)O,CHCl3,428,554,126,0.64,NA,NA
[C-][N+]C(=Cc1ccc(N(c2ccc(Br)cc2)c2ccc(-c3nc4c(-c5cccc(OC)c5)ccc(-c5cccc(OC)c5)c4[nH]3)cc2)cc1)C(=O)O,Toluene,365,NA,NA,NA,NA,NA
[C-][N+]C(=Cc1ccc(N(c2ccc(-c3cccc(N(C)C)c3)cc2)c2ccc(-c3nc4c(-c5cccc(OC)c5)ccc(-c5cccc(OC)c5)c4[nH]3)cc2)cc1)C(=O)O,Toluene,360,NA,NA,NA,NA,NA
[C-][N+]C(=Cc1ccc(N(c2ccc(-c3cccc(OC)c3)cc2)c2ccc(-c3nc4c(-c5cccc(OC)c5)ccc(-c5cccc(OC)c5)c4[nH]3)cc2)cc1)C(=O)O,Toluene,310,NA,NA,NA,NA,NA
[C-][N+]c1ccc(-c2ccc(N(C)C)cc2)cc1,Acetone,327,422,95,0.54,NA,NA
[C-][N+]c1ccc(-c2ccc(N(C)C)cc2)cc1,CH2Cl2,336,412,76,0.8,NA,NA
[C-][N+]c1ccc(-c2ccc(N(C)C)cc2)cc1,Cyclohexane,325,360,35,0.82,NA,NA
[C-][N+]c1ccc(-c2ccc(N(C)C)cc2)cc1,DMF,339,433,94,0.86,NA,NA
[C-][N+]c1ccc(-c2ccc(N(C)C)cc2)cc1,DMSO,340,447,107,0.76,NA,NA
[C-][N+]c1ccc(-c2ccc(N(C)C)cc2)cc1,Dioxane,330,397,67,0.74,NA,NA
[C-][N+]c1ccc(-c2ccc(N(C)C)cc2)cc1,Hexane,323,357,34,0.66,NA,NA
[C-][N+]c1ccc(-c2ccc(N(C)C)cc2)cc1,MeCN,333,429,96,0.89,NA,NA
[C-][N+]c1ccc(-c2ccc(N(C)C)cc2)cc1,Pyridine,340,422,82,0.63,NA,NA
[C-][N+]c1ccc(-c2ccc(N(C)C)cc2)cc1,THF,334,408,74,0.85,NA,NA
[C-][N+]c1ccc(-c2ccc(N(C)C)cc2)cc1,Toluene,329,387,58,0.62,NA,NA
[C-][N+]c1ccc(-c2ccc(N)cc2)cc1,Ethyl acetate,315,397,82,0.67,NA,NA
[C-][N+]c1ccc(-c2ccc(N)cc2)cc1,Acetone,329,407,78,0.52,NA,NA
[C-][N+]c1ccc(-c2ccc(N)cc2)cc1,CH2Cl2,307,390,83,0.75,NA,NA
[C-][N+]c1ccc(-c2ccc(N)cc2)cc1,Cyclohexane,302,354,52,0.66,NA,NA
[C-][N+]c1ccc(-c2ccc(N)cc2)cc1,DMF,314,423,109,0.78,NA,NA
[C-][N+]c1ccc(-c2ccc(N)cc2)cc1,DMSO,318,424,106,0.77,NA,NA
[C-][N+]c1ccc(-c2ccc(N)cc2)cc1,Dioxane,315,383,68,0.79,NA,NA
[C-][N+]c1ccc(-c2ccc(N)cc2)cc1,Hexane,301,353,52,0.76,NA,NA
[C-][N+]c1ccc(-c2ccc(N)cc2)cc1,MeCN,310,410,100,0.65,NA,NA
[C-][N+]c1ccc(-c2ccc(N)cc2)cc1,THF,319,396,77,0.78,NA,NA
[C-][N+]c1ccc(-c2ccc(N)cc2)cc1,Toluene,310,371,61,0.68,NA,NA
[C-][N+]c1ccc(-c2ccc(NC)cc2)cc1,Ethyl acetate,326,403,77,0.63,NA,NA
[C-][N+]c1ccc(-c2ccc(NC)cc2)cc1,Acetone,325,427,102,0.55,NA,NA
[C-][N+]c1ccc(-c2ccc(NC)cc2)cc1,CH2Cl2,322,405,83,0.85,NA,NA
[C-][N+]c1ccc(-c2ccc(NC)cc2)cc1,CHCl3,322,400,78,0.55,NA,NA
[C-][N+]c1ccc(-c2ccc(NC)cc2)cc1,Cyclohexane,316,368,52,0.74,NA,NA
[C-][N+]c1ccc(-c2ccc(NC)cc2)cc1,DMF,335,435,100,0.49,NA,NA
[C-][N+]c1ccc(-c2ccc(NC)cc2)cc1,DMSO,338,436,98,0.72,NA,NA
[C-][N+]c1ccc(-c2ccc(NC)cc2)cc1,Dioxane,326,395,69,0.77,NA,NA
[C-][N+]c1ccc(-c2ccc(NC)cc2)cc1,Hexane,313,366,53,0.49,NA,NA
[C-][N+]c1ccc(-c2ccc(NC)cc2)cc1,MeCN,324,421,97,0.88,NA,NA
[C-][N+]c1ccc(-c2ccc(NC)cc2)cc1,MeOH,327,422,95,0.65,NA,NA
[C-][N+]c1ccc(-c2ccc(NC)cc2)cc1,THF,331,406,75,0.74,NA,NA
[C-][N+]c1ccc(-c2ccc(NC)cc2)cc1,Toluene,323,388,65,0.59,NA,NA
[C-][N+]c1cccc2c(N)cccc12,Acetone,364,479,115,0.5,NA,NA
[C-][N+]c1cccc2c(N)cccc12,CHCl3,358,465,107,0.63,NA,NA
