SMILES,Solvent,LGAC,Et30,SP,SdP,SA,SB
COC(=O)c1ccn2c(NC3CCCCC3)c(-c3ccc(OC)cc3)nc2c1,CS(=O)C,4.4123,45.1,0.83,1,0.072,0.647
C[Si](C)(C)c1cccc2ccccc12,C1CCCCC1,3.73,30.9,0.683,0,0,0.073
C[SiH](C)c1cccc2ccccc12,C1CCCCC1,3.75,30.9,0.683,0,0,0.073
CCCC[Si](C)(C)c1cccc2ccccc12,C1CCCCC1,3.74,30.9,0.683,0,0,0.073
CC(C)(C)[Si](C)(C)c1cccc2ccccc12,C1CCCCC1,3.78,30.9,0.683,0,0,0.073
CCCCCCCC[Si](C)(C)c1cccc2ccccc12,C1CCCCC1,3.76,30.9,0.683,0,0,0.073
C[Si](C)(C)c1ccc([Si](C)(C)C)c2ccccc12,C1CCCCC1,3.87,30.9,0.683,0,0,0.073
C[SiH](C)c1ccc([SiH](C)C)c2ccccc12,C1CCCCC1,3.86,30.9,0.683,0,0,0.073
CC(C)(C)[Si](C)(C)c1ccc([Si](C)(C)C(C)(C)C)c2ccccc12,C1CCCCC1,3.91,30.9,0.683,0,0,0.073
C[Si](C)(C)CCc1cccc2ccccc12,C1CCCCC1,4.13,30.9,0.683,0,0,0.073
C[Si](C)(C)CCc1ccc(CC[Si](C)(C)C)c2ccccc12,C1CCCCC1,4.65,30.9,0.683,0,0,0.073
CCC12C(=C3C(=C4c5ccc(-c6ccc(C)s6)cc5S(=O)(=O)C41CC)C(F)(F)C(F)(F)C3(F)F)c1ccc(-c3ccc(C)s3)cc1S2(=O)=O,CCCCCC,4.7782,31,0.616,0,0,0.056
CCC12C(=C3C(=C4c5ccc(-c6ccc(C)s6)cc5S(=O)(=O)C41CC)C(F)(F)C(F)(F)C3(F)F)c1ccc(-c3ccc(C)s3)cc1S2(=O)=O,C1COCCO1,4.7634,36,0.737,0.312,0,0.444
ClP1(Cl)=NP(Cl)(Cl)=NP(Cl)(Oc2ccc3ccc4cccc5ccc2c3c45)=N1,C(Cl)Cl,4.4393,40.7,0.761,0.769,0.04,0.178
ClP1(Cl)=N[P@@](Cl)(Oc2ccc3ccc4cccc5ccc2c3c45)=N[P@@](Cl)(Oc2ccc3ccc4cccc5ccc2c3c45)=N1,C(Cl)Cl,4.7609,40.7,0.761,0.769,0.04,0.178
ClP1(Cl)=N[P@](Cl)(Oc2ccc3ccc4cccc5ccc2c3c45)=N[P@@](Cl)(Oc2ccc3ccc4cccc5ccc2c3c45)=N1,C(Cl)Cl,4.6079,40.7,0.761,0.769,0.04,0.178
c1ccc2c(c1)OP1(=NP3(=NP(Oc4ccc5ccc6cccc7ccc4c5c67)(Oc4ccc5ccc6cccc7ccc4c5c67)=N1)Oc1ccccc1-c1ccccc1O3)Oc1ccccc1-2,C(Cl)Cl,4.8971,40.7,0.761,0.769,0.04,0.178
