SMILES,Solvent,LGAC
COC(=O)c1ccn2c(NC3CCCCC3)c(-c3ccc(OC)cc3)nc2c1,CS(=O)C,4.4123
C[Si](C)(C)c1cccc2ccccc12,C1CCCCC1,3.73
C[SiH](C)c1cccc2ccccc12,C1CCCCC1,3.75
CCCC[Si](C)(C)c1cccc2ccccc12,C1CCCCC1,3.74
CC(C)(C)[Si](C)(C)c1cccc2ccccc12,C1CCCCC1,3.78
CCCCCCCC[Si](C)(C)c1cccc2ccccc12,C1CCCCC1,3.76
C[Si](C)(C)c1ccc([Si](C)(C)C)c2ccccc12,C1CCCCC1,3.87
C[SiH](C)c1ccc([SiH](C)C)c2ccccc12,C1CCCCC1,3.86
CC(C)(C)[Si](C)(C)c1ccc([Si](C)(C)C(C)(C)C)c2ccccc12,C1CCCCC1,3.91
C[Si](C)(C)CCc1cccc2ccccc12,C1CCCCC1,4.13
C[Si](C)(C)CCc1ccc(CC[Si](C)(C)C)c2ccccc12,C1CCCCC1,4.65
CCC12C(=C3C(=C4c5ccc(-c6ccc(C)s6)cc5S(=O)(=O)C41CC)C(F)(F)C(F)(F)C3(F)F)c1ccc(-c3ccc(C)s3)cc1S2(=O)=O,CCCCCC,4.7782
CCC12C(=C3C(=C4c5ccc(-c6ccc(C)s6)cc5S(=O)(=O)C41CC)C(F)(F)C(F)(F)C3(F)F)c1ccc(-c3ccc(C)s3)cc1S2(=O)=O,C1COCCO1,4.7634
ClP1(Cl)=NP(Cl)(Cl)=NP(Cl)(Oc2ccc3ccc4cccc5ccc2c3c45)=N1,C(Cl)Cl,4.4393
ClP1(Cl)=N[P@@](Cl)(Oc2ccc3ccc4cccc5ccc2c3c45)=N[P@@](Cl)(Oc2ccc3ccc4cccc5ccc2c3c45)=N1,C(Cl)Cl,4.7609
ClP1(Cl)=N[P@](Cl)(Oc2ccc3ccc4cccc5ccc2c3c45)=N[P@@](Cl)(Oc2ccc3ccc4cccc5ccc2c3c45)=N1,C(Cl)Cl,4.6079
