SMILES,Solvent,AM
COc1ccc2cc(-c3cc4ccc(OC)cc4oc3=O)oc2c1,CC1=CC=CC=C1,395
NCc1nc2c(OCc3ccccc3)nc(N)nc2n1Cc1ccccc1,C1COCCO1,313
OC1(c2ccc(-c3cccs3)s2)CCCC1,CC#N,343
CCN1/C(=C/C=C2\CCCc3c2[o+]c2cc4c(cc2c3-c2ccccc2C(=O)N(C)CCCC(=O)O)C(CS(=O)(=O)[O-])=CC(C)(C)N4CC)C(C)(C)c2c1ccc1c(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])cc21,CCO,765
c1ccc2c(c1)cc1c3cccc4c5ccccc5cc(c5cccc2c51)c43,C(Cl)Cl,433
CC1(C)c2ccccc2N(c2ccc3c(c2)c(=O)c2cccc4c(=O)c5cc(N6c7ccccc7C(C)(C)c7ccccc76)ccc5n3c24)c2ccccc21,CC1=CC=CC=C1,433
O=Cc1ccc(-c2ccc(-c3nc4ccccc4s3)c(O)c2)s1,CCO,376
CCn1c2ccccc2c2cc(/C=C/C3=C(S(=O)(=O)c4ccccc4)C(=C(CN)CN)OC3(C)C)ccc21,CC(=O)C,500
CCC1=C(C)C2=C(C)c3cc(I)cn3[B-](F)(F)[N+]2=C1C,CC(=O)C,503
Cc1nc2n(c1C)-c1ccccc1-c1ccccc1-2,CC#N,318
CC(=O)Nc1ccc(O)cc1,CO,290
COCCN(CCOC)c1ccc(/C=C/c2sc3c4nc(C)sc4ccc3[n+]2C)cc1,CO,533
F[B-]1(F)Oc2ccccc2-c2nc(-c3ccccc3)c3cc(Cl)ccc3[n+]21,CC1=CC=CC=C1,395
CCCCCCCCN1c2ccc(C=O)cc2Sc2cc(CCc3ccc(F)cc3)ccc21,C1CCOC1,378
CCCNC1=C2C=CC=[N+]2[B-](F)(F)n2cccc21,CCO,407
CC(C)(C)c1ccc(C2=c3sc(-c4ccc(C(C)(C)C)cc4)cc3=[N+]3C2=Nc2c(-c4ccc(C(C)(C)C)cc4)c4sc(-c5ccc(C(C)(C)C)cc5)cc4n2[B-]3(F)F)cc1,C(Cl)(Cl)Cl,767
