SMILES,Solvent,LGAC
CCC[n+]1ccc(/C=C/c2ccc(N(C)C)cc2)cc1,C(Cl)Cl,4.7324
O=C([O-])c1cc2c(ccc3ccccc32)oc1=O,O,3.5701
c1ccc(N2c3ccc4ccccc4c3-c3c4ccccc4nc[n+]3[B-]2(c2ccccc2)c2ccccc2)cc1,CC(=O)C,3.8808
CC(=O)OC(CC(=O)Nc1ccc(C(=O)/C=C/c2ccc(N(C)CCO)cc2)cc1)c1ccccc1,CS(=O)C,4.3646
CCCNC1=C2C=C(c3cc4n(c3)[B-](F)(F)[N+]3=CC=CC3=C4c3c(C)cc(C)cc3C)C(C)=[N+]2[B-](F)(F)n2c(C)ccc21,C1CCCCC1,4.6345
O=C(c1ccc(N(c2ccccc2)c2ccccc2)cc1)[C@H]1[C@H](c2ccc(F)cc2)C[C@](O)(c2ccccn2)C[C@]1(O)c1ccccn1,CCOC(=O)C,4.3526
CCOC(=O)C1=C(C)NC2=C(C(=O)c3ccccc32)C1c1ccc(N(C)C)cc1,C(Cl)Cl,3.8927
CCOC(=O)COc1ccc(/C=C/C2=C3c4ccccc4C(c4[nH]c(C)cc4C)=[N+]3[B-](F)(F)n3c(/C=C/c4ccc(OCC(=O)OCC)cc4)cc(C)c32)cc1,CC#N,5.02
CCn1nc(-c2ccccc2)c2ccc3[o+]c(-c4ccccc4)c4ccc1c2c34,CC#N,4.6712
CC(=O)Nc1ccc(C2=C/C(=C\c3ccc([N+](=O)[O-])cc3)C(=O)O2)cc1,C1COCCO1,4.4814
COC(=O)c1ccc(/C=C/C(F)(F)F)c(N)c1,C1CCOC1,3.7404
O=c1c2ccc3c4ccc5c(=O)n(-c6ccncc6)c(=O)c6ccc(c7ccc(c(=O)n1-c1ccncc1)c2c37)c4c56,CN(C)C=O,4.9395
COc1ccc(C2C3=C(CCCC3=O)Nc3c2c(=O)oc2ccccc32)cc1,CS(=O)C,4.3181
CCOC(=O)/C(=C\c1ccc2c(c1)c1ccccc1n2-c1ccc(OC)cc1)CN,CCOC(=O)C,4.2629
